file,category,time_taken,num_instantiations,post_match_instantiations,post_match_dedup_skipped,total_ematching_ms,classic_match_ms,datalog_find_assignments_ms,dl_precheck_ms,dl_var_index_build_ms,dl_join_order_ms,dl_init_binding_ms,dl_get_candidates_ms,dl_try_extend_binding_ms,dl_dedup_ms,dl_extract_assignments_ms,dl_evaluate_multipattern_ms,post_dedup_check_ms,post_substitution_ms,post_let_elim_ms,post_nnf_ms,post_insert_predecessor_ms,post_cnf_tseitin_ms,post_bool_check_ms,post_clause_assembly_ms
explosion_k3_d2_f2_n2_rd50000_br4.smt2,unsat,9.2427,,282,320,7752.6750,7736.4560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd50000_br2.smt2,unsat,9.7958,,344,122,8377.6610,8363.5020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50000_br2.smt2,unsat,10.0071,,352,128,8585.2720,8570.1570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd50000_br4.smt2,unsat,11.1176,,366,488,9635.3110,9603.7650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd50000_br2.smt2,unsat,14.0953,,837,599,12595.4300,12564.1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd5000_br8.smt2,unsat,15.4639,,3645,11319,14938.2780,14621.1320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd50000_br4.smt2,unsat,17.2042,,616,878,15566.9250,15531.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd50_br8.smt2,unsat,34.0407,,11120,17668,31644.2120,27454.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd50000_br4.smt2,unsat,34.5725,,1485,2561,33012.1590,32935.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50_br8.smt2,unsat,34.6525,,11140,17752,32146.1670,27842.5830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd50000_br8.smt2,unsat,35.8422,,1150,2478,34077.8240,34003.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd500_br8.smt2,unsat,36.6194,,11120,17668,34195.5040,29960.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd50000_br4.smt2,unsat,38.2231,,1560,1246,36641.4720,36500.4970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd500_br8.smt2,unsat,38.2459,,11140,17752,35743.4540,31356.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50000_br4.smt2,unsat,38.8882,,1572,1270,37391.5080,37246.8440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd50000_br8.smt2,unsat,39.6597,,1290,3066,38070.8110,37966.7270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd50000_br8.smt2,unsat,59.9224,,1932,4984,58287.0460,58159.5430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd50000_br8.smt2,timeout,60.0487,,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd5000_br8.smt2,timeout,60.0454,,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd5000_br8.smt2,timeout,60.0492,,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd50000_br8.smt2,timeout,60.0423,,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50000_br8.smt2,timeout,60.0545,,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
